,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,ssd,hdd,flash,hybrid,Resolution,PPI
20,Asus,Netbook,11.6,Intel,2.0,Intel HD,Windows 10,0.98,10224.432,0,0,32,0,1366x768,135.09
21,Lenovo,Gaming,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.5,53226.72,128,1024,0,0,1920x1080,141.21
22,HP,Notebook,15.6,AMD,4.0,AMD,No OS,1.86,13746.24,0,500,0,0,1366x768,100.45
23,Dell,2 in 1 Convertible,13.3,Intel,8.0,Intel UHD,Windows 10,1.62,43636.32,256,0,0,0,1920x1080,165.63
24,HP,Ultrabook,15.6,Intel,8.0,Intel HD,Windows 10,1.91,35111.52,256,0,0,0,1920x1080,141.21
25,Dell,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.3,22305.1392,0,1024,0,0,1366x768,100.45
26,Apple,Ultrabook,13.3,Intel,8.0,Intel HD,Mac OS X,1.35,58554.72,0,0,128,0,1440x900,127.68
27,Dell,Notebook,15.6,Intel,8.0,AMD,Windows 10,2.2,42624.0,256,0,0,0,1920x1080,141.21
28,Dell,Ultrabook,15.6,Intel,8.0,Intel UHD,Windows 10,1.88,69157.44,512,0,0,0,1920x1080,141.21
29,HP,Notebook,17.3,Intel,8.0,Nvidia,Windows 10,2.5,47738.88,0,1024,0,0,1920x1080,127.34
30,Chuwi,Notebook,15.6,Intel,4.0,Intel,Windows 10,1.89,13053.0672,0,0,64,0,1920x1080,141.21
31,Asus,Notebook,14.0,AMD,2.0,AMD,Windows 10,1.65,10602.72,0,0,32,0,1366x768,111.94
32,HP,Notebook,17.3,AMD,4.0,AMD,Windows 10,2.71,23389.92,0,500,0,0,1920x1080,127.34
33,Dell,Ultrabook,13.3,Intel,16.0,Intel UHD,Windows 10,1.2,99580.32,512,0,0,0,3200x1800,276.05
34,Apple,Ultrabook,13.3,Intel,8.0,Intel HD,Mac OS X,1.35,53173.44,0,0,256,0,1440x900,127.68
35,Lenovo,Notebook,14.0,Intel,4.0,Intel HD,Windows 10,1.44,13266.72,0,0,64,0,1366x768,111.94
36,Acer,Notebook,15.6,Intel,4.0,Intel HD,Linux,2.1,19553.76,0,1024,0,0,1366x768,100.45
37,Dell,Notebook,17.3,Intel,8.0,AMD,Windows 10,2.8,52161.12,128,1024,0,0,1920x1080,127.34
38,HP,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,1.86,26037.4032,0,1024,0,0,1366x768,100.45
39,HP,Notebook,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.1,46833.12,256,0,0,0,1920x1080,141.21
40,Asus,Notebook,15.6,Intel,4.0,Intel HD,Linux,2.0,20725.92,0,1024,0,0,1920x1080,141.21
41,Dell,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.65,79866.72,256,1024,0,0,1920x1080,141.21
42,Asus,Notebook,15.6,Intel,8.0,Nvidia,Linux,2.3,27864.9072,0,1024,0,0,1366x768,100.45
43,Acer,Notebook,15.6,Intel,4.0,Intel UHD,Windows 10,2.2,36336.96,256,0,0,0,1920x1080,141.21
44,Dell,2 in 1 Convertible,17.3,Intel,12.0,Nvidia,Windows 10,2.77,53226.72,0,1024,0,0,1920x1080,127.34
45,Apple,Ultrabook,13.3,Intel,8.0,Intel Iris,macOS,1.37,75604.31999999999,256,0,0,0,2560x1600,226.98
46,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,No OS,2.2,19660.32,128,0,0,0,1366x768,100.45
47,Asus,Gaming,17.3,AMD,8.0,AMD Radeon,Windows 10,3.2,69210.72,256,1024,0,0,1920x1080,127.34
48,Dell,Notebook,15.6,Intel,4.0,AMD Radeon,Windows 10,2.3,34045.92,256,0,0,0,1920x1080,141.21
49,Asus,Notebook,17.3,Intel,4.0,Nvidia,Windows 10,2.8,24828.48,0,1024,0,0,1366x768,90.58
50,Lenovo,2 in 1 Convertible,10.1,Intel,4.0,Intel HD,Android,0.69,16996.32,0,0,64,0,1920x1200,224.17
51,Acer,Notebook,15.6,Intel,8.0,Nvidia,Windows 10,2.2,44808.48,256,0,0,0,1920x1080,141.21
52,HP,Notebook,15.6,AMD,4.0,AMD Radeon,Windows 10,1.86,21231.5472,256,0,0,0,1920x1080,141.21
53,HP,Notebook,13.3,Intel,8.0,Intel UHD,Windows 10,1.49,58767.84,512,0,0,0,1920x1080,165.63
54,Acer,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.4,20459.52,0,1024,0,0,1366x768,100.45
55,Dell,Notebook,15.6,Intel,8.0,AMD,Windows 10,2.13,40908.384,256,0,0,0,1920x1080,141.21
56,HP,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,1.91,23389.92,128,0,0,0,1920x1080,141.21
57,Asus,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.0,31232.203200000004,256,0,0,0,1366x768,100.45
58,MSI,Gaming,17.3,Intel,16.0,Nvidia GeForce,Windows 10,2.43,130482.72,256,2048,0,0,1920x1080,127.34
59,Asus,Notebook,15.6,Intel,4.0,Intel HD,Linux,2.0,22111.2,256,0,0,0,1920x1080,141.21
60,Dell,Notebook,17.3,Intel,16.0,AMD,Windows 10,2.8,69210.72,256,2048,0,0,1920x1080,127.34
61,Dell,Ultrabook,14.0,Intel,8.0,Intel UHD,Windows 10,1.7,46833.12,256,0,0,0,1920x1080,157.35
62,Lenovo,Notebook,14.0,Intel,8.0,Intel HD,No OS,1.7,31914.72,256,0,0,0,1920x1080,157.35
63,Asus,Notebook,14.0,Intel,8.0,Intel UHD,Windows 10,1.4,50136.48,256,0,0,0,1920x1080,157.35
64,HP,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,1.86,36763.2,256,0,0,0,1920x1080,141.21
65,Asus,Ultrabook,15.6,Intel,16.0,Nvidia GeForce GTX,Windows 10,1.8,105654.24,512,0,0,0,1920x1080,141.21
66,HP,Notebook,15.6,Intel,4.0,AMD,Windows 10,1.86,23373.4032,0,500,0,0,1366x768,100.45
67,HP,Notebook,14.0,Intel,4.0,Intel HD,Windows 10,1.44,12201.12,32,0,0,0,1366x768,111.94
68,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,1.9,29250.72,0,1024,0,0,1920x1080,141.21
69,Asus,Gaming,17.3,Intel,12.0,Nvidia GeForce GTX,Linux,3.0,50562.72,0,1024,0,0,1920x1080,127.34
70,Microsoft,Ultrabook,13.5,Intel,4.0,Intel HD,Windows 10 S,1.252,58021.92,128,0,0,0,2256x1504,200.84
71,Dell,Ultrabook,13.3,Intel,8.0,AMD,Windows 10,1.4,50882.4,256,0,0,0,1920x1080,165.63
72,Dell,Notebook,15.6,Intel,8.0,AMD,Windows 10,2.2,46353.6,256,0,0,0,1920x1080,141.21
73,MSI,Gaming,17.3,Intel,8.0,Nvidia GeForce,Windows 10,2.7,58341.6,128,1024,0,0,1920x1080,127.34
74,Acer,Notebook,14.0,Intel,8.0,Intel HD,Windows 10,2.1,20725.92,0,1024,0,0,1366x768,111.94
75,Asus,Gaming,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.2,50562.72,0,1024,0,0,1920x1080,141.21
76,Lenovo,Notebook,15.6,Intel,8.0,Intel HD,No OS,2.2,27652.32,0,2048,0,0,1920x1080,141.21
77,Dell,Notebook,15.6,Intel,8.0,Intel UHD,Windows 10,2.02,45554.4,128,1024,0,0,1920x1080,141.21
78,Acer,Notebook,15.6,Intel,4.0,Nvidia,Windows 10,2.2,28238.4,0,1024,0,0,1920x1080,141.21
79,HP,Notebook,17.3,Intel,8.0,Nvidia,Windows 10,2.5,52054.56,128,1024,0,0,1920x1080,127.34
80,Dell,Ultrabook,15.6,Intel,8.0,Intel UHD,Windows 10,1.88,58403.4048,256,0,0,0,1920x1080,141.21
81,Apple,Ultrabook,12.0,Intel,8.0,Intel HD,macOS,0.92,80452.8,512,0,0,0,2304x1440,226.42
82,HP,Notebook,14.0,Intel,8.0,Intel HD,Windows 10,1.63,45820.8,256,0,0,0,1920x1080,157.35
83,Lenovo,Notebook,15.6,AMD,4.0,AMD,Windows 10,2.2,21258.72,128,0,0,0,1920x1080,141.21
84,Acer,Notebook,15.6,AMD,4.0,AMD,Windows 10,2.1,21045.6,0,1024,0,0,1366x768,100.45
85,Dell,Gaming,15.6,Intel,16.0,Nvidia GeForce GTX,Windows 10,2.65,71874.72,128,1024,0,0,1920x1080,141.21
86,HP,Ultrabook,15.6,Intel,8.0,Nvidia GeForce,Windows 10,1.83,37242.72,256,0,0,0,1920x1080,141.21
87,HP,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,1.96,31914.1872,256,0,0,0,1920x1080,141.21
88,Asus,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.2,77202.72,128,1024,0,0,1920x1080,141.21
89,Dell,Ultrabook,13.3,Intel,8.0,Intel UHD,Windows 10,1.21,87858.72,256,0,0,0,1920x1080,165.63
90,Asus,Gaming,15.6,AMD,8.0,AMD Radeon,Windows 10,2.45,37242.72,0,1024,0,0,1920x1080,141.21
91,Acer,Notebook,15.6,Intel,8.0,Nvidia,Windows 10,2.2,36709.92,0,1024,0,0,1920x1080,141.21
92,HP,Notebook,13.3,Intel,16.0,Intel UHD,Windows 10,1.49,63776.16,512,0,0,0,1920x1080,165.63
93,Dell,Gaming,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.65,63669.6,256,0,0,0,1920x1080,141.21
94,Asus,Ultrabook,14.0,Intel,8.0,Intel HD,Windows 10,1.25,55890.72,256,0,0,0,1920x1080,157.35
95,Acer,2 in 1 Convertible,13.3,Intel,8.0,Intel UHD,Windows 10,1.5,45128.16,256,0,0,0,1920x1080,165.63
96,Dell,Notebook,15.6,Intel,8.0,AMD Radeon,Linux,2.2,31962.672,0,1024,0,0,1920x1080,141.21
97,Dell,Notebook,15.6,Intel,4.0,AMD Radeon,Linux,2.2,25840.8,256,0,0,0,1920x1080,141.21
98,Asus,Notebook,15.6,Intel,6.0,Nvidia,Windows 10,2.0,30742.56,256,0,0,0,1920x1080,141.21
99,HP,Gaming,15.6,Intel,12.0,Nvidia GeForce,Windows 10,2.62,66546.72,128,1024,0,0,1920x1080,141.21
100,HP,Notebook,15.6,Intel,8.0,AMD,Windows 10,1.91,38308.32,256,0,0,0,1920x1080,141.21
101,HP,Notebook,15.6,AMD,4.0,AMD,Windows 10,2.1,18594.72,0,500,0,0,1920x1080,141.21
102,Dell,Notebook,15.6,Intel,8.0,AMD,Linux,2.2,34472.16,0,1024,0,0,1920x1080,141.21
103,HP,Ultrabook,13.3,Intel,8.0,Nvidia,Windows 10,1.38,59620.32,256,0,0,0,1920x1080,165.63
104,Microsoft,Ultrabook,13.5,Intel,8.0,Intel HD,Windows 10 S,1.252,71395.2,256,0,0,0,2256x1504,200.84
105,HP,Notebook,14.0,Intel,6.0,Nvidia,Windows 10,1.58,35111.52,256,0,0,0,1920x1080,157.35
106,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,1.85,22105.872,0,1024,0,0,1920x1080,141.21
107,Asus,Ultrabook,14.0,Intel,8.0,Nvidia,Windows 10,1.3,63563.04,256,0,0,0,1920x1080,157.35
108,MSI,Gaming,15.6,Intel,16.0,Nvidia GeForce GTX,Windows 10,2.2,69210.72,256,1024,0,0,1920x1080,141.21
109,Lenovo,Notebook,14.0,Intel,8.0,Intel HD,Windows 10,1.58,78854.4,256,0,0,0,1920x1080,157.35
110,Asus,Ultrabook,15.6,Intel,16.0,Nvidia,Windows 10,1.5,67239.36,256,1024,0,0,1920x1080,141.21
111,Dell,Ultrabook,13.3,Intel,8.0,Intel Iris Plus,Windows 10,1.23,73473.12,256,0,0,0,3200x1800,276.05
112,Lenovo,2 in 1 Convertible,13.3,Intel,8.0,Intel HD,Windows 10,1.37,74538.72,256,0,0,0,1920x1080,165.63
113,HP,Notebook,14.0,Intel,4.0,Intel UHD,Windows 10,1.63,38468.16,0,500,0,0,1366x768,111.94
114,Dell,Ultrabook,13.3,Intel,8.0,Intel UHD,Windows 10,1.21,86793.12,256,0,0,0,1920x1080,165.63
115,HP,2 in 1 Convertible,13.3,Intel,8.0,Intel UHD,Windows 10,1.26,74538.1872,256,0,0,0,1920x1080,165.63
116,HP,Notebook,14.0,Intel,8.0,Intel UHD,Windows 10,1.63,57755.52,512,0,0,0,1920x1080,157.35
117,Dell,Notebook,15.6,Intel,8.0,Nvidia,Windows 10,2.16,60223.98239999999,256,1024,0,0,1920x1080,141.21
118,Asus,Notebook,17.3,Intel,4.0,Nvidia,Windows 10,2.0,30049.92,0,1024,0,0,1920x1080,127.34
119,Asus,Notebook,15.6,Intel,8.0,Nvidia,Windows 10,1.7,59567.04,256,0,0,0,1920x1080,141.21
120,Acer,Notebook,15.6,Intel,6.0,Intel HD,Windows 10,2.1,25521.12,0,1024,0,0,1920x1080,141.21
121,MSI,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,1.8,119427.12,256,2048,0,0,1920x1080,141.21
122,Lenovo,Notebook,15.6,Intel,8.0,Nvidia,No OS,2.2,33513.119999999995,256,0,0,0,1920x1080,141.21
123,HP,Notebook,17.3,Intel,16.0,Nvidia GeForce,Windows 10,2.5,67718.88,512,0,0,0,1920x1080,127.34
124,Acer,Notebook,15.6,AMD,4.0,AMD,Windows 10,2.1,24029.28,256,0,0,0,1366x768,100.45
125,HP,Notebook,15.6,Intel,4.0,Intel HD,No OS,1.86,13799.52,0,500,0,0,1366x768,100.45
126,HP,Notebook,14.0,Intel,8.0,Intel UHD,Windows 10,1.63,43263.36,0,1024,0,0,1920x1080,157.35
127,Asus,Notebook,14.0,AMD,4.0,AMD,Windows 10 S,1.65,14811.3072,64,0,0,0,1366x768,111.94
128,Dell,Notebook,17.3,Intel,16.0,AMD,Windows 10,2.8,74378.87999999999,256,2048,0,0,1920x1080,127.34
129,HP,Notebook,17.3,Intel,8.0,Intel UHD,Windows 10,2.5,49443.84,256,0,0,0,1920x1080,127.34
130,Dell,Notebook,15.6,Intel,8.0,AMD Radeon,Windows 10,2.36,34045.3872,0,1024,0,0,1366x768,100.45
131,Dell,Notebook,15.6,Intel,4.0,AMD Radeon,Windows 10,2.2,23922.72,0,1024,0,0,1920x1080,141.21
132,Acer,Ultrabook,14.0,Intel,8.0,Intel UHD,Windows 10,1.6,47099.52,256,0,0,0,1920x1080,157.35
133,Acer,Notebook,15.6,Intel,4.0,Nvidia,Windows 10,2.2,30476.16,256,0,0,0,1920x1080,141.21
134,HP,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,2.05,31861.44,0,1024,0,0,1366x768,100.45
135,HP,Notebook,14.0,Intel,8.0,Intel UHD,Windows 10,1.63,52640.64,256,0,0,0,1920x1080,157.35
136,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,No OS,1.9,13445.7408,0,1024,0,0,1366x768,100.45
137,Asus,Gaming,17.3,Intel,8.0,Nvidia GeForce,Windows 10,3.0,49976.64,128,1024,0,0,1920x1080,127.34
138,Lenovo,Notebook,15.6,Intel,4.0,Nvidia,No OS,2.2,26586.72,0,1024,0,0,1920x1080,141.21
139,HP,Notebook,13.3,Intel,4.0,Intel HD,Windows 10,1.32,37242.72,256,0,0,0,1920x1080,165.63
140,Acer,Notebook,17.3,Intel,4.0,Nvidia,Windows 10,3.0,34898.4,0,1024,0,0,1920x1080,127.34
141,Lenovo,Notebook,14.0,Intel,8.0,AMD Radeon,Windows 10,1.75,59461.5456,256,0,0,0,1920x1080,157.35
142,Lenovo,Gaming,15.6,Intel,8.0,Nvidia GeForce,No OS,2.4,46300.32,256,0,0,0,1920x1080,141.21
143,Toshiba,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,32074.56,0,500,0,0,1366x768,100.45
144,HP,Notebook,15.6,AMD,4.0,AMD Radeon,Windows 10,1.86,19660.32,256,0,0,0,1366x768,100.45
145,Asus,Ultrabook,14.0,Intel,8.0,Intel UHD,Windows 10,1.25,58554.72,256,0,0,0,1920x1080,157.35
147,Asus,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.0,18328.32,0,1024,0,0,1920x1080,141.21
148,MSI,Gaming,17.3,Intel,16.0,Nvidia GeForce,Windows 10,2.9,108105.12,256,1024,0,0,1920x1080,127.34
149,Acer,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,23816.16,0,1024,0,0,1366x768,100.45
150,Dell,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.56,66560.5728,512,0,0,0,1920x1080,141.21
151,Dell,Gaming,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.62,47898.72,0,0,0,1024,1920x1080,141.21
152,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,1.9,26533.44,128,0,0,0,1366x768,100.45
153,MSI,Gaming,17.3,Intel,16.0,Nvidia GeForce,Windows 10,2.8,100699.2,256,1024,0,0,1920x1080,127.34
154,HP,Ultrabook,14.0,Intel,4.0,Intel HD,Windows 10,1.48,57648.96,256,0,0,0,1920x1080,157.35
155,HP,Notebook,15.6,Intel,6.0,AMD,Windows 10,1.91,32980.32,256,0,0,0,1920x1080,141.21
156,Lenovo,2 in 1 Convertible,14.0,Intel,4.0,Intel HD,Windows 10,1.74,33513.119999999995,256,0,0,0,1920x1080,157.35
157,Asus,2 in 1 Convertible,13.3,Intel,8.0,Intel HD,Windows 10,1.1,70063.2,256,0,0,0,1920x1080,165.63
158,Dell,2 in 1 Convertible,15.6,Intel,8.0,Intel UHD,Windows 10,1.56,55890.72,256,0,0,0,1920x1080,141.21
159,Toshiba,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,23816.16,0,500,0,0,1366x768,100.45
160,Asus,Notebook,15.6,AMD,4.0,AMD Radeon,Windows 10,2.03,21471.84,0,1024,0,0,1366x768,100.45
161,Acer,Notebook,17.3,Intel,4.0,Nvidia,Windows 10,3.0,42890.4,256,0,0,0,1920x1080,127.34
162,Dell,Notebook,15.6,Intel,8.0,AMD,Windows 10,2.13,38787.84,256,0,0,0,1920x1080,141.21
163,Lenovo,Gaming,15.6,Intel,16.0,Nvidia GeForce GTX,Windows 10,2.5,57489.12,256,0,0,0,1920x1080,141.21
164,Acer,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,18541.44,0,1024,0,0,1366x768,100.45
165,MSI,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.4,95850.72,256,1024,0,0,1920x1080,141.21
166,Acer,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,19367.8128,0,1024,0,0,1366x768,100.45
167,Dell,Gaming,15.6,Intel,8.0,Nvidia GeForce,Windows 10,2.56,56502.9072,128,1024,0,0,1920x1080,141.21
168,Acer,Notebook,17.3,Intel,8.0,Nvidia,Windows 10,3.0,45501.12,256,0,0,0,1920x1080,127.34
169,HP,Notebook,13.3,Intel,4.0,Intel UHD,Windows 10,1.49,40173.12,0,500,0,0,1920x1080,165.63
170,Huawei,Ultrabook,13.0,Intel,8.0,Intel HD,Windows 10,1.05,71874.72,256,0,0,0,2160x1440,199.69
171,HP,Notebook,17.3,Intel,6.0,AMD,Windows 10,2.71,37242.72,0,2048,0,0,1920x1080,127.34
172,Lenovo,Notebook,15.6,AMD,4.0,AMD Radeon,No OS,2.2,16463.52,0,500,0,0,1366x768,100.45
173,Toshiba,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.0,26053.92,0,500,0,0,1366x768,100.45
174,HP,Notebook,17.3,Intel,8.0,Nvidia,Windows 10,2.5,49177.44,256,0,0,0,1920x1080,127.34
175,Dell,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,2.3,24455.52,0,1024,0,0,1366x768,100.45
176,Acer,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,23922.72,128,0,0,0,1366x768,100.45
177,MSI,Gaming,18.4,Intel,32.0,Nvidia GTX,Windows 10,4.4,149130.72,512,1024,0,0,1920x1080,119.72
178,Lenovo,Notebook,15.6,Intel,8.0,,Windows 10,1.9,43316.64,128,1024,0,0,1920x1080,141.21
180,Dell,Notebook,15.6,Intel,16.0,AMD,Linux,2.02,55890.72,256,2048,0,0,1920x1080,141.21
181,Dell,Ultrabook,13.3,Intel,8.0,Intel UHD,Windows 10,1.23,74538.72,256,0,0,0,1920x1080,165.63
183,Toshiba,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,2.0,42251.04,128,0,0,0,1366x768,100.45
184,Xiaomi,Notebook,15.6,Intel,8.0,Nvidia,No OS,1.95,63882.72,256,0,0,0,1920x1080,141.21
185,Dell,Notebook,17.3,Intel,16.0,Nvidia,Windows 10,2.77,82530.72,512,0,0,0,1920x1080,127.34
186,Dell,Notebook,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.06,127712.16,512,0,0,0,3840x2160,282.42
187,Lenovo,Gaming,15.6,Intel,8.0,Nvidia GeForce,No OS,2.4,41505.12,256,0,0,0,1920x1080,141.21
188,Acer,Ultrabook,13.3,Intel,8.0,Intel HD,Windows 10,1.12,52693.92,256,0,0,0,1920x1080,165.63
189,Dell,Notebook,17.3,Intel,8.0,AMD,Windows 10,2.8,57808.8,128,1024,0,0,1920x1080,127.34
190,Lenovo,2 in 1 Convertible,14.0,Intel,16.0,Intel HD,Windows 10,1.42,150462.72,1024,0,0,0,2560x1440,209.8
191,Vero,Notebook,14.0,Intel,4.0,Intel HD,Windows 10,1.3,13852.8,0,0,32,0,1920x1080,157.35
192,Xiaomi,Ultrabook,13.3,Intel,8.0,Nvidia,No OS,1.3,53274.67199999999,256,0,0,0,1920x1080,165.63
193,Lenovo,Notebook,17.3,Intel,8.0,Nvidia,No OS,2.8,37189.44,256,0,0,0,1600x900,106.11
194,Dell,2 in 1 Convertible,13.3,Intel,8.0,Intel UHD,Windows 10,1.62,44701.92,0,1024,0,0,1920x1080,165.63
195,HP,Notebook,17.3,Intel,8.0,Nvidia,Windows 10,2.5,48697.92,0,1024,0,0,1920x1080,127.34
197,HP,Notebook,13.3,Intel,8.0,Intel UHD,Windows 10,1.49,51095.52,512,0,0,0,1920x1080,165.63
198,HP,Gaming,17.3,Intel,16.0,Nvidia GeForce,Windows 10,3.35,73473.12,256,1024,0,0,1920x1080,127.34
199,HP,Notebook,17.3,Intel,8.0,Nvidia GeForce,Windows 10,2.5,55677.6,256,0,0,0,1920x1080,127.34
200,Dell,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,2.65,98301.6,512,1024,0,0,3840x2160,282.42
201,Lenovo,Notebook,15.6,Intel,4.0,Intel HD,Windows 10,2.1,26267.04,128,0,0,0,1366x768,100.45
202,Acer,Notebook,15.6,Intel,8.0,Nvidia,Windows 10,2.23,39533.76,0,1024,0,0,1920x1080,141.21
203,Lenovo,Gaming,15.6,Intel,16.0,Nvidia GeForce,Windows 10,3.2,93186.72,512,1024,0,0,1920x1080,141.21
204,Dell,Workstation,15.6,Intel,16.0,Nvidia,Windows 10,2.8,162770.4,256,1024,0,0,3840x2160,282.42
205,Lenovo,Gaming,15.6,Intel,16.0,Nvidia GeForce,No OS,2.4,74485.44,512,0,0,0,1920x1080,141.21
206,Dell,Notebook,15.6,Intel,6.0,Intel HD,Windows 10,2.3,23389.92,0,1024,0,0,1366x768,100.45
208,Dell,Ultrabook,13.3,Intel,8.0,Intel UHD,Windows 10,1.2,77202.72,256,0,0,0,1920x1080,165.63
209,Lenovo,Notebook,15.6,Intel,8.0,Intel HD,Windows 10,2.2,31808.16,256,0,0,0,1366x768,100.45
210,Acer,Notebook,15.6,Intel,8.0,Nvidia GeForce,Linux,2.4,41505.12,0,1024,0,0,1920x1080,141.21
211,Asus,Gaming,17.3,Intel,16.0,Nvidia GeForce,Windows 10,2.9,74964.95999999999,256,1024,0,0,1920x1080,127.34
212,HP,Notebook,15.6,Intel,4.0,Intel HD,No OS,2.1,18594.72,0,500,0,0,1920x1080,141.21
213,Lenovo,Notebook,15.6,Intel,8.0,Intel HD,No OS,2.2,29250.72,256,0,0,0,1920x1080,141.21
214,Huawei,Ultrabook,13.0,Intel,8.0,Intel HD,Windows 10,1.05,79866.72,512,0,0,0,2160x1440,199.69
215,Dell,Ultrabook,13.3,Intel,8.0,AMD,Windows 10,1.4,49650.5664,256,0,0,0,1920x1080,165.63
216,Lenovo,Notebook,17.3,Intel,8.0,Nvidia GeForce,No OS,2.8,31381.92,0,1024,0,0,1600x900,106.11
217,HP,Notebook,14.0,Intel,8.0,Nvidia,Windows 10,1.63,54931.68,256,0,0,0,1920x1080,157.35
218,Dell,Ultrabook,14.0,Intel,8.0,Intel UHD,Windows 10,1.6,61218.72,256,0,0,0,1920x1080,157.35
219,Dell,2 in 1 Convertible,13.3,Intel,16.0,Intel UHD,Windows 10,1.62,68145.12,512,0,0,0,1920x1080,165.63
220,Dell,Notebook,15.6,Intel,8.0,AMD,Linux,2.2,36089.208,256,0,0,0,1920x1080,141.21
221,Lenovo,2 in 1 Convertible,14.0,Intel,8.0,Intel UHD,Windows 10,1.74,47898.72,256,0,0,0,1920x1080,157.35
